"GEOID","total_pop","pct_white","pct_black","pct_hispanic","pct_asian","poverty_rate","unemployment_rate","median_income","pct_renter","pct_rent_burdened","pct_severe_burden","pct_less_than_hs","median_rent","median_home_value","property_age","vacant_units"
"42101005500",5897,9.02153637442767,80.3968119382737,5.27386806850941,2.91673732406308,24.263698630137,11.3354037267081,62616,38.3233532934132,54.9632352941177,38.1433823529412,8.81675874769797,1402,174700,57,85
"42101005600",1138,4.39367311072056,87.2583479789104,4.21792618629174,0.615114235500879,21.0017574692443,7.59162303664921,34523,82.5788751714678,49.5016611295681,28.4053156146179,12.7946127946128,1146,150400,53,56
"42101006000",6440,8.99068322981366,74.5031055900621,6.07142857142857,3.68012422360248,22.4713740458015,6.70430486944248,46446,40,59.6863468634686,39.0221402214022,13.2730732635585,1145,153100,71,221
"42101006100",2919,6.33778691332648,83.5560123329907,0,9.1812264474135,21.1031175059952,9.93548387096774,41325,23.7442922374429,70.1923076923077,52.2435897435897,13.5322322855621,1042,131100,63,97
"42101006200",4394,4.82476103777879,87.9153390987711,0.887573964497041,6.82749203459263,13.7687756030951,14.4666939109113,45502,50.0595238095238,70.6302021403092,39.4768133174792,15.619861887537,1267,98600,81,115
"42101006300",4415,4.12231030577576,82.3103057757644,7.38391845979615,6.18346545866365,39.4557823129252,18.5350060704168,32347,55.3800592300099,43.6720142602496,17.6470588235294,16.7274052478134,1101,76600,80,367
"42101006400",4717,5.2999788000848,74.1785032859868,7.80156879372483,2.03519185923256,37.1404036066982,14.7707231040564,38032,35.042735042735,49.5934959349593,26.5040650406504,28.1609195402299,1271,99300,86,109
"42101006500",4672,2.63270547945206,92.0162671232877,6.63527397260274,0,19.4659776055125,9.49640287769784,43081,40.5784003615002,54.4543429844098,40.0890868596882,9.11602209944751,991,106900,86,515
"42101006600",3396,4.44640753828033,84.4817432273263,1.32508833922261,7.97997644287397,33.2048621405277,16.4722031571723,32946,59.2592592592593,56.34765625,35.44921875,11.7704757233938,974,78300,86,246
"42101006700",7868,1.95729537366548,85.0533807829182,1.43619725470259,7.62582613116421,26.1616804583068,20.9251101321586,41581,56.2347931873479,64.2509464575446,30.124391563007,15.6313438895656,1356,106600,84,264
"42101007000",3521,1.36324907696677,87.588753195115,4.48736154501562,0,14.3993183754615,7.87096774193548,38158,46.9128678592037,44.8954489544895,23.1242312423124,9.06618313689937,1191,85900,86,189
"42101007101",2317,6.60336642209754,91.9292188174363,0,1.46741476046612,30.2573203194321,14.041514041514,40046,43.8528557599226,56.5121412803532,20.9713024282561,12.7857142857143,1161,103200,86,229
"42101007102",4584,3.18499127399651,93.0846422338569,3.66492146596859,0,28.6186384666226,22.3132530120482,34291,37.0405727923628,53.479381443299,43.6855670103093,12.7758781473422,1115,84100,86,320
"42101007200",4525,2.1878453038674,81.414364640884,6.76243093922652,2.29834254143646,34.0213049267643,12.7225358228398,41226,47.4427666829031,55.64681724846,30.4928131416838,12.4783362218371,1223,93200,86,254
"42101007300",3295,18.2701062215478,69.3778452200304,1.18361153262519,5.1896813353566,10.804248861912,8.34597875569044,61488,42.2888616891065,23.1548480463097,10.5643994211288,4.53774385072095,1216,263300,86,177
"42101007400",3955,9.20353982300885,66.9026548672566,0.859671302149178,3.79266750948167,27.3519610356319,12.8262076624098,39547,46.6094032549729,46.7507274490786,12.4151309408341,11.8758915834522,1196,80600,82,361
"42101007700",1815,54.2148760330578,20.0550964187328,5.34435261707989,15.0413223140496,22.4006762468301,5.03875968992248,48581,79.0382244143033,53.198127925117,34.6333853354134,5.33199195171026,1164,289700,86,89
"42101007800",4191,64.4953471725125,16.0820806490098,5.96516344547841,9.23407301360057,30.6759098786828,10.4518799586064,61205,73.1375985977213,48.5919712402636,27.3816656680647,2.80402316366961,1148,592000,86,107
"42101007900",3952,59.9696356275304,18.5222672064777,5.51619433198381,8.60323886639676,13.2844129554656,1.75746924428823,79800,50.8924684370918,38.4944396920445,25.8340461933276,2.52345519249434,1229,499600,86,241
