code,citycor,long_code,zoninggroup,pending,pendingbill,pendingbillurl,sunset_date,sunsetbillnum,sunsetbilllink,objectid,globalid,Shape__Area,Shape__Length
RSA2,0,RSA-2,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28917,,109590.015625,2510.24765789958
CMX2,0,CMX-2,Commercial/Commercial Mixed-Use,No,N/A,N/A,,N/A,N/A,28918,,762.5078125,135.741274098225
IP,1,I-P,Industrial/Industrial Mixed-Use,No,N/A,N/A,,N/A,N/A,28919,,1275029.3046875,6684.98198925332
CMX2.5,0,CMX-2.5,Commercial/Commercial Mixed-Use,No,N/A,N/A,,N/A,N/A,28920,,891.28125,182.58257533071
RM1,0,RM-1,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28921,,6178.61328125,449.680799371747
I1,0,I-1,Industrial/Industrial Mixed-Use,No,N/A,N/A,,N/A,N/A,28922,,441143.90234375,4479.65372266947
CMX3,0,CMX-3,Commercial/Commercial Mixed-Use,No,N/A,N/A,,N/A,N/A,28923,,23569.9921875,633.608267788382
RM1,0,RM-1,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28924,,1518.01953125,160.876073388756
RSA2,0,RSA-2,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28925,,44152.9140625,2279.83416109997
RM1,0,RM-1,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28926,,609.90234375,103.919258103347
CMX2,0,CMX-2,Commercial/Commercial Mixed-Use,No,N/A,N/A,,N/A,N/A,28927,,2500.2109375,218.481744127483
CMX2,0,CMX-2,Commercial/Commercial Mixed-Use,No,N/A,N/A,,N/A,N/A,28928,,2163.62109375,199.163973744285
CMX2,0,CMX-2,Commercial/Commercial Mixed-Use,No,N/A,N/A,,N/A,N/A,28929,,282.2734375,83.2888787796959
RSA5,0,RSA-5,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28930,,2572.7265625,236.415763279061
RSA5,0,RSA-5,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28931,,1784.63671875,177.084650408251
RSA3,0,RSA-3,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28932,,4950.39453125,359.806275576208
RSA5,0,RSA-5,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28933,,7375.3671875,447.453851972598
RSA6,0,RSA-6,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28934,,1403.03125,181.294010623844
